RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
INS-IGF2	0	0	0	0	0	0
INSC	0	0	0	0	0	2
INSIG1	1552	1260	1337	1889	1858	1747
INSIG2	89	70	77	62	77	51
INSL3	0	0	0	0	0	0
INSL4	0	0	0	0	0	0
INSL5	0	0	0	0	0	0
INSL6	0	0	0	1	0	0
INSM1	102	44	98	160	167	143
INSM2	4	0	12	11	12	4
INSR	230	170	174	171	193	158
INSRR	0	0	0	0	0	0
INSYN1	2	1	2	3	1	3
INSYN2A	8	0	0	0	0	1
INSYN2B	6	6	6	0	0	8
INTS1	17	20	0	3	32	5
INTS10	519	445	449	398	377	504
INTS11	198	219	245	180	215	182
INTS12	165	106	148	212	192	129
INTS13	155	128	166	158	115	123
INTS14	484	399	412	545	494	458
INTS2	277	179	264	256	241	310
INTS3	0	0	0	0	1	0
INTS4	185	94	110	93	80	66
INTS5	160	130	122	182	127	137
INTS6	625	511	659	719	724	607
INTS6L	16	6	12	21	14	22
INTS7	574	419	450	613	737	631
INTS8	167	96	110	136	150	130
INTS9	114	73	85	112	106	118
INTU	126	127	93	99	167	76
INVS	204	104	245	300	259	264
IP6K1	185	131	97	92	121	123
IP6K2	359	337	351	362	296	272
IP6K3	0	0	0	0	0	0
IPCEF1	0	12	0	0	0	2
IPMK	197	139	135	159	185	131
IPO11	250	216	268	331	288	229
IPO13	37	30	18	26	44	26
IPO4	0	0	0	2	0	0
IPO5	842	512	734	979	835	831
IPO7	1236	917	1139	1361	1445	1213
IPO8	287	259	264	262	369	319
IPO9	856	581	727	846	745	684
IPP	138	77	155	77	68	72
IPPK	65	61	53	82	62	86
IQANK1	0	0	0	0	0	0
IQCA1	0	0	0	0	0	0
IQCA1L	0	0	0	0	0	0
IQCB1	227	191	202	393	276	271
IQCC	25	24	20	51	111	46
IQCD	18	9	17	4	0	1
IQCE	64	48	48	75	80	52
IQCF1	0	0	0	0	0	0
IQCF2	0	0	0	0	0	0
IQCF3	0	0	0	0	0	0
IQCF5	0	0	0	0	0	0
IQCF6	0	0	0	0	0	0
IQCG	30	56	7	16	8	34
IQCH	21	14	28	74	21	38
IQCJ	0	0	0	0	0	0
IQCJ-SCHIP1	313	230	222	291	220	248
IQCK	113	88	90	132	179	111
IQCM	0	0	0	0	4	0
IQCN	2	1	0	0	0	3
IQGAP1	274	220	202	296	212	313
IQGAP2	165	130	193	128	177	165
IQGAP3	33	44	26	35	70	44
IQSEC1	121	125	136	68	81	116
IQSEC2	43	33	40	30	46	31
IQSEC3	4	0	0	0	0	0
IQUB	0	0	0	2	0	3
IRAG1	0	0	1	0	0	0
IRAG2	0	0	0	0	0	0
IRAK1	533	432	364	580	414	395
IRAK1BP1	288	164	148	263	305	244
IRAK2	26	28	20	27	41	39
IRAK3	3	0	1	2	0	5
IRAK4	85	71	59	138	89	96
IREB2	1328	923	1192	1157	1239	1190
IRF1	153	126	137	207	166	172
IRF2	51	85	57	77	32	29
IRF2BP1	0	2	0	2	1	9
IRF2BP2	2544	2265	2507	4259	4157	3870
IRF2BPL	347	175	275	400	475	385
IRF3	29	25	44	48	16	24
IRF4	8	0	6	8	1	16
IRF5	17	22	16	25	19	14
IRF6	6	2	2	0	0	3
IRF7	0	0	0	0	0	0
IRF8	20	20	12	13	14	24
IRF9	0	0	0	0	0	0
IRGC	0	0	0	0	0	0
IRGM	0	0	0	0	0	7
IRGQ	184	101	201	217	207	235
IRS1	118	38	97	40	63	65
IRS2	869	573	649	991	1084	854
IRS4	12187	9938	10950	10530	10542	9757
IRX1	0	0	0	0	0	0
IRX2	0	0	0	0	0	0
IRX3	908	592	713	865	935	707
IRX4	8	14	3	4	0	1
IRX5	316	243	183	334	280	269
IRX6	2	8	7	2	0	6
ISCA1	209	224	182	198	208	184
ISCA2	187	127	95	137	141	126
ISCU	324	203	263	243	332	248
ISG15	19	3	2	11	8	9
ISG20	13	0	1	8	13	1
ISG20L2	1564	1191	1220	1571	1442	1244
ISL1	0	6	0	0	0	12
ISL2	127	106	177	358	338	297
ISLR	0	0	0	0	0	0
ISLR2	0	0	0	0	3	0
ISM1	23	14	10	12	19	21
ISM2	17	10	3	13	0	5
ISOC1	270	182	225	179	262	193
ISOC2	3	0	0	5	2	3
IST1	195	198	245	223	161	149
ISX	0	0	0	0	0	0
ISY1	362	293	229	289	287	212
ISY1-RAB43	0	0	2	6	21	0
ISYNA1	69	27	38	74	76	68
ITCH	548	504	555	456	479	412
ITFG1	480	374	460	455	527	498
ITFG2	416	334	407	444	415	508
ITGA1	63	44	45	63	25	60
ITGA10	0	0	0	0	0	1
ITGA11	7	0	0	0	0	0
ITGA2	99	91	68	100	118	51
ITGA2B	0	0	0	0	0	0
ITGA3	11	39	33	37	21	28
ITGA4	49	38	57	40	36	45
ITGA5	43	27	29	53	25	20
ITGA6	46	72	38	40	53	48
ITGA7	0	0	1	0	10	1
ITGA8	71	53	71	62	34	28
ITGA9	7	8	14	14	0	10
ITGAD	0	0	0	0	0	0
ITGAE	234	128	179	208	188	209
ITGAL	49	65	50	74	98	67
ITGAM	0	0	0	0	0	0
ITGAV	86	38	67	80	98	100
ITGAX	0	0	0	0	0	0
ITGB1	183	134	234	209	256	145
ITGB1BP1	243	235	173	214	223	198
ITGB1BP2	1	1	10	0	2	0
ITGB2	0	0	0	4	0	0
ITGB3	1	0	0	0	4	0
ITGB3BP	142	109	112	142	159	167
ITGB4	0	0	0	0	0	0
ITGB5	108	72	71	89	53	62
ITGB6	1	0	0	0	0	0
ITGB7	0	0	0	0	0	0
ITGB8	5	16	2	5	6	18
ITGBL1	0	0	0	0	0	0
ITIH1	0	0	0	0	0	0
ITIH2	0	0	0	0	0	0
ITIH3	0	0	0	0	0	0
ITIH4	0	1	0	4	0	0
ITIH5	0	0	1	3	0	8
ITIH6	0	0	0	0	0	0
ITK	0	6	0	1	0	0
ITLN1	0	0	0	0	0	0
ITLN2	0	0	0	0	0	0
ITM2A	0	0	0	0	0	0
ITM2B	835	761	699	842	833	690
ITM2C	75	101	88	78	54	138
ITPA	301	257	240	355	345	257
ITPK1	0	0	0	0	0	0
ITPKA	19	12	15	12	8	10
ITPKB	37	44	45	34	42	42
ITPKC	133	114	110	161	155	129
ITPR1	213	206	222	247	226	178
ITPR2	283	238	212	281	270	235
ITPR3	105	65	77	76	78	49
ITPRID1	0	0	0	0	0	0
ITPRID2	238	190	228	204	235	248
ITPRIP	95	70	67	103	74	102
ITPRIPL1	0	0	0	0	0	0
ITPRIPL2	561	519	502	462	472	440
ITSN1	653	481	617	633	565	471
ITSN2	78	78	95	97	111	104
IVD	427	310	364	377	469	330
IVL	0	0	0	0	0	0
IVNS1ABP	441	456	531	665	669	636
IWS1	310	221	258	263	255	241
IYD	0	0	0	3	0	0
IZUMO1	2	0	0	0	0	0
IZUMO1R	0	0	0	0	0	0
IZUMO2	0	0	0	0	0	0
IZUMO3	0	0	0	0	0	0
IZUMO4	0	0	0	4	7	4
JADE1	736	553	644	716	757	803
JADE2	32	55	69	49	35	38
JADE3	150	62	104	88	112	93
JAG1	172	164	212	233	210	241
JAG2	93	95	131	100	89	58
JAGN1	650	555	477	463	374	376
JAK1	320	231	378	268	266	201
JAK2	21	14	4	25	22	14
JAK3	0	0	0	4	0	0
JAKMIP1	12	10	15	2	10	0
JAKMIP2	28	18	47	31	13	44
JAKMIP3	0	0	2	0	0	0
JAM2	7	6	4	5	4	13
JAM3	184	150	170	203	226	193
JAML	0	0	0	0	0	0
JARID2	1016	766	943	949	769	861
JAZF1	177	158	161	161	191	173
JCAD	113	160	120	81	86	94
JCHAIN	0	0	0	0	0	0
JDP2	18	10	5	60	20	17
JHY	91	88	75	83	68	91
JKAMP	131	139	108	102	126	130
JMJD1C	142	143	133	247	300	174
JMJD4	237	243	181	254	284	267
JMJD6	264	200	224	205	239	178
JMJD7	8	8	1	25	18	12
JMJD7-PLA2G4B	15	23	6	27	39	14
JMJD8	103	65	37	67	97	42
JMY	432	349	345	461	400	384
JOSD1	324	266	186	233	310	248
JOSD2	1	1	1	3	6	1
JPH1	230	148	213	258	330	214
JPH2	0	2	0	2	0	0
JPH3	16	16	26	14	23	14
JPH4	2	0	0	0	0	0
JPT1	1717	1214	1246	1396	1281	1045
JPT2	1114	936	1010	1043	858	961
JRK	354	252	324	233	224	257
JRKL	14	18	27	35	11	38
JSRP1	0	0	0	0	0	0
JTB	795	601	584	578	574	503
JUN	2351	1739	1874	4113	3669	3495
JUNB	191	135	139	171	168	119
JUND	481	317	343	960	872	840
JUP	144	125	170	95	64	92
KAAG1	0	0	1	1	1	0
KALRN	78	57	48	38	34	49
KANK1	162	76	124	94	131	137
KANK2	109	133	175	137	108	109
KANK3	1	0	9	5	5	16
KANK4	0	0	0	0	0	0
KANSL1	0	0	10	0	0	3
KANSL1L	9	23	35	33	30	22
KANSL2	742	578	521	924	753	940
KANSL3	260	214	286	298	236	205
KANTR	12	0	0	3	0	4
KARS1	387	325	363	349	349	373
KASH5	1	0	3	3	0	0
KAT14	100	47	112	128	96	93
KAT2A	192	172	160	173	145	132
KAT2B	45	49	59	57	80	61
KAT5	110	25	48	104	85	118
KAT6A	1199	1012	1202	1327	1247	1189
KAT6B	1	2	1	0	0	1
KAT7	242	186	195	302	223	294
KAT8	99	81	75	115	71	77
KATNA1	317	201	259	314	183	259
KATNAL1	84	88	77	48	76	72
KATNAL2	20	5	12	15	10	19
KATNB1	191	131	119	194	194	186
KATNBL1	247	197	217	218	148	205
KATNIP	141	107	145	191	121	129
KAZALD1	0	0	11	0	1	0
KAZN	377	278	378	317	353	348
KBTBD11	0	0	0	0	0	0
KBTBD11-OT1	0	0	0	0	0	0
KBTBD12	0	0	0	0	0	0
KBTBD13	0	0	0	0	0	0
KBTBD2	207	182	137	220	237	194
KBTBD3	14	14	16	21	5	22
KBTBD4	0	0	0	0	0	0
KBTBD6	813	640	685	678	757	539
KBTBD7	456	367	406	241	295	256
KBTBD8	126	90	93	91	100	101
KCMF1	336	245	305	270	273	292
KCNA1	0	5	9	32	23	24
KCNA10	0	0	0	0	0	0
KCNA2	4	5	0	6	0	0
KCNA3	5	0	16	3	9	5
KCNA4	0	0	0	0	0	0
KCNA5	0	0	0	0	0	0
KCNA6	0	0	0	0	0	0
KCNA7	0	0	0	0	0	0
KCNAB1	0	0	0	0	0	0
KCNAB2	13	3	6	12	0	25
KCNAB3	5	8	10	14	41	13
KCNB1	6	3	3	6	9	0
KCNB2	3	14	1	2	1	4
KCNC1	43	32	45	21	16	46
KCNC2	0	0	0	0	0	0
KCNC3	3	8	10	1	10	0
KCNC4	81	67	106	88	66	69
KCND1	0	0	0	0	0	0
KCND2	0	0	0	0	0	0
KCND3	0	0	0	2	0	1
KCNE1	0	0	0	0	0	0
KCNE1B	0	0	0	0	0	0
KCNE2	0	4	0	0	0	0
KCNE3	0	0	0	0	0	0
KCNE4	0	0	7	0	0	0
KCNE5	1	8	1	4	11	0
KCNF1	0	0	0	0	0	0
KCNG1	4	5	6	4	0	0
KCNG2	0	0	0	0	0	0
KCNG3	46	39	24	77	70	35
KCNG4	0	0	1	0	0	0
KCNH1	1	0	0	0	0	5
KCNH2	0	4	2	0	25	4
KCNH3	0	0	0	2	0	1
KCNH4	15	0	6	5	6	0
KCNH5	0	0	0	0	0	0
KCNH6	2	1	0	2	2	5
KCNH7	0	0	0	0	0	0
KCNH8	0	0	5	0	0	0
KCNIP1	6	3	3	0	8	1
KCNIP2	9	0	10	6	2	2
KCNIP3	0	3	2	5	1	1
KCNIP4	7	8	1	10	1	0
KCNJ1	0	0	0	0	1	3
KCNJ10	941	764	913	939	1034	865
KCNJ11	75	60	28	39	26	32
KCNJ12	26	20	11	15	11	11
KCNJ13	0	0	0	0	0	0
KCNJ14	64	44	48	14	7	22
KCNJ15	0	0	0	0	0	0
KCNJ16	0	0	0	0	0	0
KCNJ18	1	0	0	1	0	0
KCNJ2	15	16	1	14	11	21
KCNJ3	0	0	0	0	1	0
KCNJ4	19	3	22	21	4	1
KCNJ5	0	0	8	0	2	0
KCNJ6	0	0	0	0	0	0
KCNJ8	87	27	60	72	66	60
KCNJ9	0	0	0	0	0	0
KCNK1	122	125	133	129	81	142
KCNK10	0	2	0	3	0	0
KCNK12	0	0	0	0	0	0
KCNK13	3	6	7	4	0	5
KCNK15	0	0	0	0	0	0
KCNK16	0	0	0	0	0	0
KCNK17	0	0	0	0	0	0
KCNK2	5	0	0	0	1	0
KCNK3	0	0	0	0	0	0
KCNK4	0	0	0	0	0	0
KCNK5	65	27	54	65	82	59
KCNK6	15	7	10	16	19	11
KCNK7	0	0	0	0	0	0
KCNK9	1	0	0	2	0	0
KCNMA1	16	24	41	41	37	65
KCNMB1	0	0	0	0	0	0
KCNMB2	0	0	0	0	0	0
KCNMB3	0	3	10	11	21	3
KCNMB4	91	135	90	68	67	78
KCNN1	0	9	0	0	9	0
KCNN2	0	0	0	0	0	0
KCNN3	0	0	4	0	0	0
KCNN4	0	0	0	2	0	0
KCNQ1	0	0	10	1	9	0
KCNQ2	0	7	0	0	0	0
KCNQ3	3	0	0	0	0	0
KCNQ4	31	7	27	34	15	20
KCNQ5	119	102	135	191	189	194
KCNRG	32	46	54	38	72	46
KCNS1	0	0	0	0	0	0
KCNS2	0	0	6	0	0	0
KCNS3	30	27	31	32	20	21
KCNT1	0	0	0	0	0	0
KCNT2	0	0	0	0	0	0
KCNU1	0	0	0	0	0	0
KCNV1	0	0	0	0	0	0
KCNV2	0	0	0	0	0	0
KCP	3	0	0	0	0	4
KCTD1	99	50	85	79	98	55
KCTD10	356	279	361	268	306	277
KCTD11	0	0	0	0	0	0
KCTD12	893	872	977	893	640	873
KCTD13	337	233	331	270	285	208
KCTD14	1	0	5	6	0	0
KCTD15	345	184	180	466	413	351
KCTD16	0	0	2	7	0	0
KCTD17	25	22	26	8	16	8
KCTD18	24	42	36	43	62	32
KCTD19	13	12	7	19	14	7
KCTD2	378	195	276	287	300	243
KCTD20	354	365	380	323	276	252
KCTD21	0	9	17	7	10	15
KCTD3	468	343	437	493	508	417
KCTD4	0	0	0	0	0	0
KCTD5	249	248	343	312	276	281
KCTD6	107	82	118	78	96	56
KCTD7	80	45	55	82	121	47
KCTD8	0	0	0	0	0	0
KCTD9	167	117	174	102	131	127
KDELR1	681	525	465	588	475	518
KDELR2	575	493	465	673	681	573
KDELR3	64	83	66	60	73	68
KDF1	4	5	0	1	3	8
KDM1A	291	197	262	248	262	195
KDM1B	25	23	10	52	27	24
KDM2A	377	283	314	252	309	343
KDM2B	442	337	391	405	352	355
KDM3A	190	132	201	226	290	234
KDM3B	286	200	254	192	240	272
KDM4A	337	321	348	435	476	506
KDM4B	180	187	194	193	196	165
KDM4C	186	208	207	281	253	241
KDM4D	23	9	31	15	26	33
KDM4E	0	0	0	0	0	0
KDM5A	420	328	446	382	407	303
KDM5B	819	529	712	783	882	742
KDM5C	535	440	500	476	395	486
KDM5D	0	0	0	0	0	0
KDM6A	372	312	445	616	567	509
KDM6B	59	21	40	84	117	114
KDM7A	82	84	66	133	113	132
KDM8	77	31	49	53	71	62
KDR	0	0	0	0	0	0
KDSR	723	528	574	672	612	664
KEAP1	436	258	261	230	235	260
KEL	0	0	0	0	0	0
KERA	0	0	0	0	0	0
KHDC1	31	22	4	5	16	16
KHDC1L	0	2	0	0	0	0
KHDC3L	0	0	0	0	0	0
KHDC4	696	426	565	611	603	606
KHDRBS1	1403	1059	1082	1220	1131	1106
KHDRBS2	0	0	0	0	0	0
KHDRBS3	170	142	169	135	202	201
KHK	15	17	23	30	9	16
KHNYN	201	177	157	231	167	212
KHSRP	4135	3119	3170	3214	3131	2965
KIAA0040	105	87	101	114	76	86
KIAA0100	211	200	179	220	228	277
KIAA0232	331	241	421	266	377	237
KIAA0319	15	2	4	3	4	0
KIAA0319L	201	164	172	266	215	182
KIAA0408	60	20	27	13	45	46
KIAA0513	20	12	9	32	1	18
KIAA0586	234	175	251	269	212	222
KIAA0753	133	136	136	143	202	134
KIAA0825	5	2	5	10	22	6
KIAA0895	98	88	52	150	158	110
KIAA0895L	39	31	36	42	67	25
KIAA0930	162	111	106	97	66	77
KIAA1109	222	182	184	218	222	265
KIAA1143	0	0	5	0	0	3
KIAA1191	456	338	358	462	394	506
KIAA1210	0	0	0	0	0	0
KIAA1217	40	4	8	7	14	1
KIAA1328	82	53	62	99	125	85
KIAA1522	37	49	55	31	63	34
KIAA1549	130	77	114	91	63	63
KIAA1549L	33	10	32	38	7	34
KIAA1586	88	78	91	71	94	68
KIAA1614	0	0	0	0	2	0
KIAA1671	40	54	49	79	72	45
KIAA1755	0	0	0	0	0	0
KIAA1958	559	379	525	386	442	359
KIAA2012	0	0	0	0	0	0
KIAA2013	610	499	509	392	459	330
KIAA2026	94	67	83	65	101	51
KICS2	210	89	153	185	203	154
KIDINS220	236	227	144	224	262	227
KIF11	322	276	317	298	285	317
KIF12	0	0	0	0	0	0
KIF13A	341	255	264	269	252	308
KIF13B	93	80	61	105	53	85
KIF14	209	157	221	204	228	216
KIF15	0	0	0	0	0	0
KIF16B	52	36	21	45	55	55
KIF17	8	9	0	10	3	8
KIF18A	46	64	66	52	101	62
KIF18B	356	266	346	222	172	217
KIF19	0	0	0	0	0	0
KIF1A	405	410	457	394	381	364
KIF1B	518	457	524	461	400	486
KIF1C	291	253	223	210	201	195
KIF20A	207	165	264	131	123	121
KIF20B	97	65	72	72	92	89
KIF21A	209	118	169	297	264	219
KIF21B	20	6	8	7	0	8
KIF22	384	269	351	351	351	351
KIF23	974	946	958	777	933	724
KIF24	14	10	25	20	50	18
KIF25	1	12	0	0	0	0
KIF26A	115	65	70	74	74	69
KIF26B	0	0	0	0	0	0
KIF27	42	59	45	40	57	13
KIF2A	626	542	605	528	685	506
KIF2B	0	0	0	0	0	0
KIF2C	386	385	331	429	468	486
KIF3A	175	176	301	247	162	203
KIF3B	323	195	234	285	267	260
KIF3C	48	53	38	54	11	33
KIF4A	280	178	207	197	142	174
KIF4B	0	0	0	0	0	0
KIF5A	78	74	57	50	65	50
KIF5B	1098	854	868	1163	1142	930
KIF5C	25	32	27	35	41	28
KIF6	14	17	12	11	4	10
KIF7	148	134	121	133	145	158
KIF9	64	37	55	100	92	122
KIFAP3	91	27	62	15	22	26
KIFBP	407	351	398	535	329	450
KIFC1	0	0	0	0	0	0
KIFC2	8	6	0	6	0	1
KIFC3	16	6	14	5	35	9
KIN	102	105	101	153	143	128
KIR2DL1	0	0	0	0	0	0
KIR2DL3	0	0	0	0	0	0
KIR2DL4	0	0	0	0	0	0
KIR2DS4	0	0	0	0	0	0
KIR3DL1	0	0	0	0	0	0
KIR3DL2	0	0	0	0	0	0
KIR3DL3	0	0	0	0	0	0
KIRREL1	42	27	35	29	91	46
KIRREL2	0	0	0	0	0	0
KIRREL3	0	0	0	0	0	0
KISS1	0	0	0	0	0	0
KISS1R	3	0	0	0	0	0
KIT	148	119	117	144	123	115
KITLG	235	197	196	318	277	233
KIZ	309	279	322	281	387	349
KL	0	0	0	0	0	0
KLB	0	0	0	4	2	0
KLC1	546	505	416	491	483	442
KLC2	13	10	18	20	37	16
KLC3	4	0	0	0	0	1
KLC4	77	33	82	105	103	95
KLF1	2	4	0	0	0	0
KLF10	126	142	112	424	408	406
KLF11	87	77	89	115	89	124
KLF12	139	125	83	142	188	133
KLF13	0	0	0	3	0	0
KLF14	15	10	25	9	21	1
KLF15	65	56	100	134	134	141
KLF16	84	48	44	73	37	52
KLF17	0	0	0	0	0	0
KLF2	17	6	7	12	1	4
KLF3	122	113	109	177	181	195
KLF4	46	27	14	61	47	78
KLF5	277	280	176	381	295	257
KLF6	321	284	327	549	487	492
KLF7	42	69	80	142	106	103
KLF8	0	0	0	0	0	0
KLF9	331	200	302	664	626	551
KLHDC1	2	7	0	2	0	0
KLHDC10	808	610	791	550	680	718
KLHDC2	122	111	109	177	163	181
KLHDC3	269	214	187	236	209	215
KLHDC4	140	98	137	125	169	129
KLHDC7A	0	2	0	4	0	5
KLHDC7B	0	0	0	11	1	2
KLHDC8A	2	0	0	0	0	0
KLHDC8B	12	12	21	23	17	30
KLHDC9	63	38	16	64	49	62
KLHL1	0	0	0	0	0	0
KLHL10	0	0	9	0	3	0
KLHL11	476	428	355	416	381	327
KLHL12	262	185	270	333	264	356
KLHL13	49	27	43	41	43	45
KLHL14	21	5	10	12	27	14
KLHL15	3153	2662	2799	3704	3697	3414
KLHL17	10	0	12	30	35	29
KLHL18	307	229	274	261	363	214
KLHL2	93	91	116	145	100	111
KLHL20	363	302	324	414	393	318
KLHL21	908	694	711	740	849	771
KLHL22	37	47	42	32	41	24
KLHL23	905	733	768	744	760	771
KLHL24	120	106	136	160	135	135
KLHL25	74	59	55	66	56	55
KLHL26	179	162	135	208	177	134
KLHL28	154	104	169	146	132	139
KLHL29	41	19	24	27	22	37
KLHL3	31	35	35	28	27	32
KLHL30	0	0	0	3	0	0
KLHL31	10	6	3	6	0	8
KLHL32	0	9	8	8	3	2
KLHL33	0	0	0	0	0	0
KLHL34	0	0	0	0	0	0
KLHL35	0	0	0	0	0	4
KLHL36	233	118	176	149	129	124
KLHL38	0	0	0	0	0	0
KLHL4	0	0	0	0	0	5
KLHL40	0	0	0	0	0	0
KLHL41	10	4	2	8	10	4
KLHL42	1183	859	1032	995	913	893
KLHL5	184	119	254	168	185	152
KLHL6	0	0	0	0	0	0
KLHL7	214	167	255	228	233	238
KLHL8	547	496	589	462	452	482
KLHL9	917	553	707	587	698	662
KLK1	0	0	0	0	0	0
KLK10	0	0	0	0	0	0
KLK11	0	0	0	0	0	0
KLK12	0	0	0	0	0	0
KLK13	0	0	0	0	0	0
KLK14	0	0	0	0	0	0
KLK15	0	0	0	0	0	0
KLK2	0	0	0	0	0	0
KLK3	4	10	6	19	19	8
KLK4	0	0	0	0	0	0
KLK5	0	0	0	0	0	0
KLK6	0	0	0	0	0	0
KLK7	0	0	0	0	0	0
KLK8	0	0	0	0	0	0
KLK9	0	0	0	0	0	0
KLKB1	0	0	0	0	0	0
KLLN	0	0	0	0	0	0
KLRB1	0	0	0	0	0	0
KLRC1	0	0	0	0	0	0
KLRC2	0	1	0	0	0	7
KLRC3	2	0	0	0	0	4
KLRC4	0	0	0	0	0	0
KLRC4-KLRK1	0	0	0	3	10	0
KLRD1	3	0	0	0	0	0
KLRF1	0	0	0	0	0	0
KLRG1	29	58	23	51	31	37
KLRG2	0	2	1	0	0	0
KLRK1	0	0	0	0	0	0
KMO	0	0	0	0	0	0
KMT2A	950	736	981	1163	958	854
KMT2B	323	286	317	236	315	237
KMT2C	886	785	815	893	980	794
KMT2D	337	243	250	288	244	228
KMT2E	823	628	643	778	899	761
KMT5A	329	245	303	327	266	287
KMT5B	436	315	352	406	437	371
KMT5C	72	54	57	110	56	110
KNCN	0	0	0	0	0	0
KNDC1	5	5	7	13	1	13
KNG1	0	0	0	0	0	0
KNL1	180	126	202	191	153	202
KNOP1	698	588	539	697	503	685
KNSTRN	385	294	321	395	354	298
KNTC1	59	58	59	91	58	33
KPNA1	337	321	304	406	387	367
KPNA2	1800	1487	1526	955	1194	999
KPNA3	750	662	769	580	559	565
KPNA4	540	498	573	752	711	553
KPNA5	412	376	396	334	426	275
KPNA6	1530	1172	1271	1190	1225	1145
KPNA7	0	0	0	0	0	0
KPNB1	5317	4252	4968	5049	4827	4573
KPRP	0	0	0	0	0	0
KPTN	19	36	26	23	34	27
KRAS	1019	850	986	812	922	754
KRBA1	61	49	34	85	80	94
KRBA2	41	33	45	32	40	25
KRBOX1	0	0	0	0	0	0
KRBOX4	65	46	67	141	96	112
KRCC1	17	14	17	22	27	23
KREMEN1	103	57	63	40	39	38
KREMEN2	3	0	0	0	0	7
KRI1	267	197	252	267	278	277
KRIT1	300	313	272	401	464	372
KRR1	624	505	640	563	595	570
KRT1	0	0	0	0	0	0
KRT10	900	545	587	672	499	498
KRT12	0	0	0	0	0	0
KRT13	6	0	0	1	0	4
KRT14	0	0	0	0	0	0
KRT15	0	0	0	0	0	0
KRT16	0	0	0	0	0	0
KRT17	8	11	0	5	20	4
KRT18	84	60	82	40	101	44
KRT19	254	178	149	143	185	130
KRT2	0	0	0	0	0	0
KRT20	0	0	0	0	0	0
KRT222	12	13	17	28	33	22
KRT23	0	0	0	0	0	0
KRT24	0	0	0	0	0	0
KRT25	0	0	0	0	0	0
KRT26	0	0	0	0	0	0
KRT27	0	0	0	2	0	0
KRT28	0	0	0	0	0	0
KRT3	0	0	0	0	0	0
KRT31	0	0	0	0	0	0
KRT32	0	0	0	0	0	0
KRT33A	0	0	0	0	0	0
KRT33B	0	0	0	0	0	0
KRT34	0	0	0	0	0	0
KRT35	0	0	0	0	0	0
KRT36	0	0	0	0	0	0
KRT37	0	0	0	0	0	0
KRT38	0	0	0	0	0	0
KRT39	0	0	0	0	0	0
KRT4	0	0	0	0	0	0
KRT40	0	0	0	0	0	0
KRT5	0	0	0	0	0	0
KRT6A	0	0	0	0	0	0
KRT6B	0	0	0	0	0	0
KRT6C	0	0	0	0	0	0
KRT7	0	0	0	0	0	0
KRT71	0	0	0	0	0	0
KRT72	0	0	0	0	0	0
KRT73	0	0	0	0	0	0
KRT74	0	0	0	0	0	0
KRT75	0	0	0	0	0	3
KRT76	0	0	0	0	0	0
KRT77	0	0	0	0	0	0
KRT78	0	0	0	0	0	0
KRT79	0	0	0	0	0	0
KRT8	122	89	112	127	158	151
KRT80	0	0	0	0	0	0
KRT81	0	0	0	0	0	0
KRT82	0	0	0	0	0	0
KRT83	0	0	0	0	0	0
KRT84	0	0	0	0	0	0
KRT85	0	0	0	0	0	4
KRT86	0	0	1	0	0	0
KRT9	0	0	3	0	0	0
KRTAP1-1	0	0	0	0	0	0
KRTAP1-3	0	0	0	0	0	0
KRTAP1-4	0	0	0	0	0	0
KRTAP1-5	0	0	0	0	0	0
KRTAP10-1	0	0	0	0	0	0
KRTAP10-10	0	0	0	0	0	0
KRTAP10-11	0	0	0	0	0	0
KRTAP10-12	0	0	0	0	0	0
KRTAP10-2	0	0	0	0	0	0
KRTAP10-3	0	0	0	0	0	0
KRTAP10-4	0	0	0	0	0	0
KRTAP10-5	0	0	0	0	0	0
KRTAP10-6	0	0	0	0	0	0
KRTAP10-7	0	0	0	0	0	0
KRTAP10-8	0	0	0	0	0	0
KRTAP10-9	0	0	0	0	0	0
KRTAP11-1	0	0	0	0	0	0
KRTAP12-1	0	0	0	0	0	0
KRTAP12-2	0	0	0	0	0	0
KRTAP12-3	0	0	0	0	0	0
KRTAP12-4	0	0	0	0	0	0
KRTAP13-1	0	0	0	0	0	3
KRTAP13-2	0	0	0	0	0	0
KRTAP13-3	0	0	0	0	0	0
KRTAP13-4	0	0	0	0	0	0
KRTAP15-1	0	0	0	0	0	0
KRTAP17-1	0	0	0	0	0	0
KRTAP19-1	21	22	25	12	16	39
KRTAP19-2	0	0	0	0	0	0
KRTAP19-3	0	0	0	0	12	0
KRTAP19-4	0	0	0	0	0	0
KRTAP19-5	1	2	0	3	1	9
KRTAP19-6	0	0	0	0	0	0
KRTAP19-7	0	0	0	0	0	0
KRTAP19-8	0	0	0	0	0	0
KRTAP2-1	0	0	0	0	0	0
KRTAP2-2	0	0	0	0	0	0
KRTAP2-3	0	0	0	0	0	0
KRTAP2-4	0	0	0	0	0	0
KRTAP20-1	0	0	0	0	0	0
KRTAP20-2	0	0	0	0	0	0
KRTAP20-3	0	0	0	0	0	0
KRTAP20-4	0	0	0	0	0	0
KRTAP21-1	0	0	0	0	0	0
KRTAP21-2	3	1	0	0	0	0
KRTAP21-3	0	0	0	0	0	0
KRTAP22-1	0	0	0	0	0	0
KRTAP22-2	0	0	0	0	0	0
