RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
ADAM17	295	239	302	354	447	349
ADAM18	0	0	0	0	0	0
ADAM19	12	13	36	2	9	6
ADAM2	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0
ADAM21	1	3	3	0	0	0
ADAM22	73	106	57	63	65	67
ADAM23	23	37	22	28	23	18
ADAM28	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	19	15	12	15	12	16
ADAM9	69	27	45	70	73	82
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	1473	953	1301	2461	2444	2302
ADAMTS10	12	2	5	0	0	0
ADAMTS12	0	0	0	0	0	0
ADAMTS13	0	0	0	1	0	0
ADAMTS14	0	0	0	0	0	0
ADAMTS15	77	59	36	39	21	29
ADAMTS16	0	0	0	1	0	0
ADAMTS17	140	74	179	173	240	259
ADAMTS18	42	24	10	27	29	24
ADAMTS19	128	85	163	175	118	157
ADAMTS2	37	17	12	15	36	48
ADAMTS20	48	8	29	36	61	14
ADAMTS3	46	23	23	26	30	31
ADAMTS4	0	1	7	2	2	0
ADAMTS5	0	0	0	0	0	0
ADAMTS6	29	23	48	28	25	43
ADAMTS7	0	0	0	0	0	3
ADAMTS8	24	18	13	20	12	2
ADAMTS9	18	10	4	24	25	24
ADAMTSL1	2	0	11	0	10	0
ADAMTSL2	0	0	0	0	0	0
ADAMTSL3	0	0	1	0	0	0
ADAMTSL4	0	0	0	0	0	0
ADAMTSL5	2	5	3	4	8	0
ADAP1	15	5	1	4	5	5
ADAP2	97	53	41	111	64	43
ADAR	785	610	647	742	701	580
ADARB1	96	84	138	119	138	94
ADARB2	0	0	0	0	0	0
ADAT1	288	284	258	290	302	312
ADAT2	161	128	146	164	194	159
ADAT3	45	37	34	25	72	18
ADCK1	42	22	36	66	54	62
ADCK2	117	150	114	120	133	77
ADCK5	0	0	0	0	0	0
ADCY1	103	126	92	81	69	106
ADCY10	9	3	10	14	0	7
ADCY2	0	0	0	0	0	0
ADCY3	57	43	96	51	83	59
ADCY4	0	0	0	0	0	0
ADCY5	12	5	3	8	5	17
ADCY6	18	16	19	18	19	11
ADCY7	29	10	14	16	10	17
ADCY8	0	0	0	0	0	0
ADCY9	225	195	220	137	157	154
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	8	11	0	7	0	4
ADD1	471	290	300	292	294	255
ADD2	155	84	191	108	62	70
ADD3	528	428	496	445	585	438
ADGB	0	0	0	0	0	0
ADGRA1	0	0	3	0	0	0
ADGRA2	27	16	9	5	0	8
ADGRA3	208	130	193	180	181	145
ADGRB1	0	3	0	6	0	0
ADGRB2	4	10	1	11	4	9
ADGRB3	0	0	0	0	0	0
ADGRD1	0	0	0	0	0	5
ADGRD2	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0
ADGRE2	7	1	1	5	3	0
ADGRE3	29	16	12	11	14	39
ADGRE5	132	88	94	77	57	100
ADGRF1	0	0	0	0	0	0
ADGRF3	0	0	0	0	0	0
ADGRF4	4	5	1	0	14	0
ADGRF5	0	0	0	1	0	0
ADGRG1	0	0	0	0	0	0
ADGRG2	5	0	0	13	12	0
ADGRG3	1	0	4	0	8	5
ADGRG4	0	0	0	0	0	0
