rownames(count)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
ACAD10	135	99	122	116	143	94	0.677961667097523	0.83870269364334	11710	-0.107132729371472	0.257998085033873	117.185686796026	-0.415246219201227
ACAD11	312	257	280	333	192	271	0.343756837154272	0.58047530411463	7720	-0.187331596512698	0.197864238050833	272.713416691326	-0.946768341556352
ACAD8	233	137	133	167	229	196	0.510985735023011	0.725526212489626	9617	0.157089218382455	0.23899035873443	180.377405623702	0.65730358000347
ACAD9	462	358	289	377	462	421	0.555615856851009	0.75824267757224	10187	0.0986440010836221	0.16737311014127	391.463778433445	0.589365884402594
ACADL	14	42	2	18	37	28	0.599381723409639	1	10701	0.398921250665195	0.75943074638932	23.5468551587725	0.525289833947135
ACADM	1390	1207	1290	1442	1385	1125	0.392270986701653	0.625277570054211	8294	-0.074560048172816	0.087153138392954	1297.21822192832	-0.855506176227888
ACADS	103	61	69	70	142	113	0.222615474503469	0.448178161491296	6224	0.404119184185496	0.331353105685281	91.9461134757428	1.21960282626513
ACADSB	334	349	372	309	290	299	0.0337603174987234	0.126912727583247	3086	-0.331352793773255	0.15608329528739	325.52633874195	-2.12292284810587
ACADVL	419	265	423	396	373	271	0.308921535507504	0.547389262362397	7281	-0.185952682916082	0.182756709500725	354.610366214063	-1.01748758458219
ACAN	0	0	0	0	0	1	0.832014989074624	1	13446.5	0.865541679578049	4.0804728567969	0.169596386571733	0.212117984839993
ACAP1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACAP2	420	345	391	468	433	440	0.366842611910945	0.602285424795808	8000	0.121003567128164	0.134090326106452	412.848842750778	0.902403407029542
ACAP3	142	82	65	123	159	87	0.397721558885371	0.630423582618826	8358	0.266916610248529	0.315617148312008	107.688129069879	0.845697427012632
ACAT1	1027	1099	981	1021	890	895	0.015476666910895	0.0719156464536816	2450	-0.247349630958867	0.1021671732986	983.615844738501	-2.4210284279467
ACAT2	2495	2127	2191	2213	2104	1996	0.00150798055140094	0.0120207108353761	1398	-0.204321727857514	0.0643909543761438	2177.40618706542	-3.1731433372451
ACBD3	1023	870	1016	1442	1149	1250	0.00217366200910801	0.015978606487235	1518	0.3053582030264	0.0996138974413099	1113.64537059733	3.06541768638567
ACBD4	93	56	69	79	70	64	0.704965075664074	0.854204770295222	11989	-0.12135627250948	0.320516924480498	71.1065077777149	-0.37862672214947
ACBD5	790	678	772	889	808	827	0.446545903020778	0.674895312380347	8883	0.077640346321762	0.101999160951926	788.401313496232	0.761186127387415
ACBD6	763	790	724	818	670	660	0.103903070074017	0.27680057136829	4508	-0.185273646599708	0.113929085562478	734.82555197166	-1.62621902637939
ACBD7	441	365	330	418	261	413	0.436345890068557	0.66591637691106	8762	-0.144941227893972	0.186209179292406	369.626296675283	-0.77837853345763
ACCS	16	11	14	10	26	21	0.56035859789366	1	10258	0.395889123502903	0.679860962708999	16.2071976534547	0.582308950238044
ACCSL	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACD	266	314	281	301	294	312	0.885505804773896	0.950456531689324	14023	-0.0245225132163065	0.170303221067938	294.045843938981	-0.143993243712777
ACE	39	36	49	26	20	11	0.0151950153477993	0.0708727524035189	2440	-1.23299780161953	0.507887763256333	30.3246415702065	-2.4276973985633
ACE2	0	2	0	0	0	0	0.616513628781626	1	10890	-2.01929614146388	4.03216079767499	0.361192490068739	-0.500797523409344
ACER1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACER2	0	2	0	0	0	13	0.26401670174373	1	6727	2.62818369647751	2.35300522423486	2.56594551550127	1.11694766735256
ACER3	536	481	569	642	614	567	0.386596941493825	0.620893033495798	8217	0.103383070466232	0.119406834659112	564.002874652639	0.865805301357953
ACHE	22	2	6	6	0	4	0.193877532593807	1	5838	-1.62728242680565	1.25253276767691	6.52220139785508	-1.29919349720789
ACIN1	1734	1463	1700	1736	1776	1600	0.667549312157221	0.832700843423034	11556	-0.033005432694921	0.076843697115962	1657.74537666884	-0.429513856486026
ACKR1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACKR2	0	4	2	0	0	0	0.236713890156879	1	6404	-3.59352127287753	3.03701708096208	1.07215911618909	-1.18324038919767
ACKR3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACKR4	0	0	0	3	0	0	0.566921955728703	1	10345.5	2.28929188112051	3.99813070238363	0.460655441309777	0.572590555820416
ACLY	4675	4257	4618	4359	4630	3967	0.00577648779513183	0.0341270840946027	1903	-0.161858644184614	0.0586400539491447	4398.70136853442	-2.76020626319657
ACMSD	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACO1	173	126	172	196	160	190	0.572883064088215	0.770817527322551	10430	0.122943374759173	0.218057949622087	168.132203754995	0.563810560322356
ACO2	1281	922	1096	1158	1127	1140	0.725152817307803	0.865489885489079	12195	-0.0344839369242647	0.0980825934133318	1112.46208585447	-0.351580598801515
ACOD1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACOT1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACOT11	10	25	5	22	1	12	0.734533756263481	1	12291	-0.321796851139189	0.94897092941668	12.5574972521181	-0.339100852475
ACOT12	0	0	0	2	0	0	0.672877139662776	1	11635	1.70687919259077	4.04279644203747	0.307103627539851	0.422202605810781
ACOT13	625	603	544	555	681	446	0.213010437139431	0.436037039034634	6100	-0.175874021231664	0.141226829551956	572.610373593575	-1.24533009619791
ACOT2	697	584	519	653	600	538	0.404870134905612	0.636880171119058	8442	-0.101644967121966	0.122029368639182	594.11308941416	-0.832954953839935
ACOT4	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACOT6	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACOT7	1206	1139	1120	1204	1023	1179	0.216112305641977	0.43941570759913	6144	-0.119369591637871	0.0965045658313004	1141.06969713386	-1.23693206232895
ACOT8	389	296	308	388	317	365	0.906914315192753	0.958435760584452	14246	0.0182857961262522	0.156380376747755	341.145398654241	0.116931526234571
ACOT9	417	312	343	518	662	402	0.00480611201233565	0.0296471518666443	1820	0.465873348647957	0.165217978962635	435.545135432959	2.81974971230775
ACOX1	985	654	828	744	684	788	0.0584157037171354	0.184487262294145	3726	-0.239224519622459	0.126402254780627	776.456395213572	-1.8925652872066
ACOX2	6	4	0	13	0	11	0.401931663851294	1	8413	1.19489608841931	1.42559030585505	5.54193428526967	0.838176356497197
ACOX3	46	35	21	41	105	26	0.203409693767844	0.423632230736159	5977	0.657241409215493	0.516741036503949	44.6843921199874	1.27189706794357
ACOXL	59	64	78	27	26	27	0.000319507328283585	0.00358267762755159	994	-1.42986936799737	0.397302059903646	47.4638743765913	-3.59894778382006
