,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
PSPC1,0.0837484982841783,0.753122305136372,-0.13602221303653,0.699763459471475,PSPC1,ns,0
PSRC1,-0.359062896294788,0.18105986085644,-0.786999062804242,0.0782406265730418,PSRC1,ns,0
PSTK,0.195811902041325,0.433012208452473,0.15193173918438,0.655740563882984,PSTK,ns,0
PSTPIP2,-0.241550392593803,0.2750828509962,0.113015267744219,0.671431737556725,PSTPIP2,ns,0
PTAR1,-0.170459952447775,0.430460019472552,-0.228320734446474,0.49356056317573,PTAR1,ns,0
PTBP1,0.0625635866306184,0.721864199421888,0.262665859792538,0.123948191357986,PTBP1,ns,0
PTBP2,0.311212454509045,0.0188959589982005,0.0291081136261077,0.948903899736776,PTBP2,ns,0
PTBP3,-0.0286675677128469,0.924521658236744,-0.191328324697831,0.571039052683881,PTBP3,ns,0
PTCD1,-0.023938927474072,0.933472292049582,0.321200577555663,0.259231958719022,PTCD1,ns,0
PTCD2,-0.0991484644319911,0.7007102878424,0.894536430148658,0.0391162723120309,PTCD2,ns,0
PTPN11,-0.0766931490671847,0.756045485216992,-0.0778469520318302,0.84298439466919,PTPN11,ns,0
PXDC1,0.0262904817587053,0.924210997855632,-0.0753912574847962,0.829347794238167,PXDC1,ns,0
PTPN12,0.0245691345884689,0.936283392619182,-0.167291484818096,0.595351029321579,PTPN12,ns,0
PTPN14,-0.0331757848366765,0.877193946032792,-0.0103750879608262,0.978931068058732,PTPN14,ns,0
PUM2,0.126180627844793,0.459020534261021,-0.45835083375671,0.17258273050522,PUM2,ns,0
PUM3,0.0266370680670771,0.924210997855632,0.447329571358573,0.0999990049177706,PUM3,ns,0
PURA,-0.291849965459251,0.0012641799325014,-0.0054956991839306,0.979931825822001,PURA,ns,0
PURG,-0.115163999881773,0.633296562352817,-0.145072950667753,0.0684776646979562,PURG,ns,0
PUS1,0.0447506048022879,0.835780393381144,0.0963472112394717,0.725594713613312,PUS1,ns,0
PUS10,0.757530986241275,0.0541999941114047,0.159875620541812,0.302701172653348,PUS10,ns,0
PUM1,-0.0468162028601036,0.75330820304095,0.195574023064164,0.402043348758721,PUM1,ns,0
PUS3,0.0547821344230828,0.832156926438121,0.220463436845094,0.384293267473177,PUS3,ns,0
PUS7L,0.0051951599875005,0.989330217919346,0.131536938245996,0.712103279658377,PUS7L,ns,0
PUSL1,-0.120562642069428,0.591373892326548,0.166587735792671,0.630218283733157,PUSL1,ns,0
PVR,0.0238356367804968,0.937497616134882,0.0219487477803942,0.965463701298043,PVR,ns,0
PWP1,-0.0004679390307829,0.99786990187743,0.0494917917772788,0.85197491385549,PWP1,ns,0
PWWP2A,0.273495896031153,0.11055372393229,0.0946694786855218,0.786524746679642,PWWP2A,ns,0
PWWP2B,-0.0104711375162336,0.974396356294605,-0.0764574670999016,0.827158249520616,PWWP2B,ns,0
