rownames(count),DMSO.P0.1,DMSO.P0.2,DMSO.P0.3,TPG.P0.1,TPG.P0.2,TPG.P0.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
ACAD11,27,50,47,96,65,102,0.0020191562482413,0.0307008750917814,791.0,1.41506892348136,0.458336748169506,66.6208366046822,3.08740010294358,0,6.057901565949278,up
ACAD8,52,32,41,96,54,14,0.375592625009652,0.697622795713677,6859.0,0.547573114775938,0.617996111951444,45.8762154805057,0.886046213214624,0,5.519674477245773,ns
ACAD9,23,77,31,72,5,86,0.317532444115789,0.651366656213645,6123.0,0.756655388166783,0.757002471033659,49.153447139736,0.999541503654009,0,5.619220691453496,ns
ACADM,392,512,341,447,343,315,0.433725720665296,0.745531754705919,7479.0,0.130654896579034,0.166900282022724,377.338033638572,0.78283208988973,0,8.559713713130577,ns
ACADSB,69,75,19,47,19,58,0.986197575294395,0.996872060625388,13148.0,0.0109831790268521,0.63487916583352,46.2843924738892,0.017299636872526,0,5.532453880240094,ns
ACAP2,77,77,58,94,56,79,0.298701792601234,0.635188197175901,5868.0,0.421923509232974,0.405999645717321,72.4861474898256,1.03922137293376,0,6.1796334092255725,ns
ACAP3,6,11,6,15,4,1,0.993122603854686,0.998994165708995,13208.0,-0.013124469572877,1.52262306084937,6.49534375857438,-0.0086196445531015,0,2.699405880664195,ns
ACAT1,128,162,130,145,82,74,0.502414104750746,0.79463194688872,8217.0,-0.211868110976245,0.315892830764215,114.008889386622,-0.670696167632829,0,6.833002506919187,ns
ACAT2,471,465,461,768,678,498,6.45998274801632e-07,3.61368430280894e-05,215.0,0.744291474553594,0.149548234898623,550.952328880553,4.97693252653994,0,9.105783684863525,up
ACBD3,380,675,493,515,542,398,0.207442575005012,0.531624088980455,4753.0,0.217162566735866,0.172265258824837,484.022373221137,1.2606289173877,0,8.91892992526876,ns
ACBD5,337,373,321,361,313,253,0.464511127604777,0.770504942640859,7831.0,0.130189962907769,0.177991582651085,316.315738512005,0.731438874629136,0,8.305221529722152,ns
ACBD6,134,188,182,103,182,96,0.717507550004641,0.905132877245926,10452.0,-0.115710021154313,0.319824802740761,142.377711374323,-0.361791894070528,0,7.153579505977073,ns
ACBD7,56,98,59,101,32,44,0.977613404692535,0.993893188354787,13080.0,0.0136326753570966,0.485820809139194,61.2798701309067,0.028061118627775,0,5.937341334681313,ns
ACD,67,101,109,81,112,95,0.334096105791754,0.667027533923876,6308.0,0.363951312431672,0.376801667408628,93.5878976180088,0.965896236432998,0,6.548250073677219,ns
ACER3,54,95,61,15,75,2,0.227962403528673,0.556804189122532,5024.0,-0.942212361580434,0.781514107340137,45.7991933348301,-1.20562425262831,0,5.517250283120302,ns
ACIN1,340,524,344,458,451,339,0.0323964633376594,0.1926012182709,2023.0,0.354381283092957,0.16563864359252,396.939329143972,2.13948433413131,0,8.63277470285561,ns
ACLY,497,524,510,514,514,436,0.159440114141753,0.468129294016918,4104.0,0.224741136926028,0.159735601788353,489.419763468664,1.40695708664751,0,8.934928550453437,ns
ACO1,28,21,26,8,8,1,0.0687167738186641,0.302842300739126,2729.0,-1.96203248163545,1.07787554782087,14.0311235666959,-1.82027738323044,0,3.810558634792985,ns
ACO2,215,198,173,271,191,253,0.0190584900334504,0.138372255377217,1656.0,0.596344719465678,0.254371502630885,216.555436989363,2.34438493816277,0,7.75859258392633,ns
ACOT13,102,133,61,56,86,50,0.464744870385754,0.770719204961263,7833.0,-0.296558686761466,0.405657890738504,76.6255674128028,-0.731056127668509,0,6.259753946896078,ns
ACOT2,305,392,328,403,404,280,0.0342049489951693,0.198448104951713,2073.0,0.369664751269001,0.174563890301586,343.017103234189,2.11764730168621,0,8.422136702429318,ns
ACOT7,177,261,223,184,159,158,0.70379465649289,0.89830127641947,10334.0,-0.094241874369642,0.24787244969334,187.029174299752,-0.380203102386873,0,7.547119520500824,ns
ACOT8,64,42,57,50,49,59,0.612036297219151,0.854825787783992,9389.0,0.251350872602148,0.495595965102809,53.6076909712122,0.507168924488735,0,5.744368090534036,ns
ACOT9,63,89,120,93,173,78,0.138933790692548,0.437537758748172,3825.0,0.596180268453299,0.40288625307093,101.894780398949,1.47977317148207,0,6.670936340538319,ns
ACOX1,88,188,87,135,148,62,0.528432190741041,0.813122035106762,8484.0,0.226547876290992,0.359371003594338,111.103375145842,0.630401100882143,0,6.795758833974339,ns
ACOXL,6,23,16,23,31,13,0.33580786743001,0.66886417047933,6323.0,0.867943753131159,0.901777217556319,18.1680364670901,0.962481349310594,0,4.1833306018416545,ns
ACP1,399,531,364,381,159,155,0.010938101076132,0.0978085811469436,1345.0,-0.635899433704813,0.249894642087292,307.495529590802,-2.5446701393569,0,8.264421626294693,ns
ACP2,66,112,66,170,58,143,0.0219414322705172,0.152273286738321,1733.0,0.949981954846265,0.414589400926208,102.662304327756,2.29138022516728,0,6.681762738105981,ns
ACP6,39,99,122,68,123,119,0.205107141264255,0.530043744732529,4714.0,0.584262745504608,0.461089701180764,96.4284610443663,1.26713466817502,0,6.591387118390433,ns
ACSF3,18,33,23,21,20,1,0.54194824269885,0.819303897286989,8634.0,-0.617238118364709,1.01208224862958,17.5555748483511,-0.609869523154354,0,4.133857332193313,ns
ACSL1,43,75,48,40,26,2,0.145086071234971,0.447308428285825,3907.0,-1.09162935656902,0.749174393054998,34.9141255150661,-1.45710980872898,0,5.125738933258176,ns
ACSL3,516,492,447,379,395,266,0.22433966075323,0.551699010374817,4987.0,-0.20929864800439,0.172252436722085,399.072333831061,-1.21506930170211,0,8.640506455523848,ns
ACSL4,56,63,58,95,26,31,0.995061157694528,0.998994165708995,13230.0,0.0033425325527589,0.539992557358741,51.9530038418388,0.0061899604118772,0,5.699135260810694,ns
ACSS1,28,53,116,63,58,47,0.997263111480307,0.999756892704314,13253.0,-0.0018980091026221,0.553325127634412,60.2209254931503,-0.0034301878006816,0,5.912192974888152,ns
ACSS2,28,14,19,41,4,1,0.77785391387974,0.927272179822741,11140.0,-0.327699449680095,1.16157347735234,16.3923708399484,-0.282116849316364,0,4.034952622398379,ns
ACSS3,24,8,1,19,4,13,0.743263211909665,0.913744970385146,10765.0,0.427193268931913,1.3042672067559,11.2996101809736,0.327535083853307,0,3.498201097644913,ns
ACTA2,137,79,1,75,27,46,0.868471989339763,0.960305998538449,11953.0,-0.227200901304813,1.37198866702669,57.1769264345653,-0.165599692450224,0,5.837361164370368,ns
ACTB,660,984,801,807,783,448,0.951334513706066,0.988559750984837,12818.0,0.0091337124321429,0.149656914193342,713.731162738093,0.0610310086999593,0,9.479236954197017,ns
ACTG1,14303,17045,13148,16429,14908,10926,9.19790213546972e-06,0.0003867942971443,286.0,0.211082452578291,0.0475923476027973,13986.9959882128,4.43521833257674,0,13.771798525163508,ns
ACTL6A,146,164,105,214,209,16,0.752354375673007,0.917194842442643,10847.0,0.270594751813084,0.857570485191782,132.454693408894,0.315536456169629,0,7.049355154945227,ns
ACTN1,267,358,321,331,268,109,0.475426876535826,0.777063809175628,7944.0,-0.188318707856005,0.263871028887993,259.637807526995,-0.713677089332689,0,8.020356668490077,ns
ACTR10,70,107,73,159,101,57,0.108721435739783,0.386212751575958,3385.0,0.596909957412632,0.372146148464353,90.5153939281369,1.60396650583584,0,6.500091266698215,ns
ACTR1A,228,242,229,340,287,285,0.0011065406019782,0.0197746862109833,673.0,0.677554466711573,0.207715428324288,267.504831917,3.26193616034033,0,8.06342114080154,up
ACTR1B,51,104,37,121,37,37,0.561660015084455,0.828313438339258,8889.0,0.306831202058797,0.52867513854971,59.9844448829375,0.580377588589683,0,5.906516525613126,ns
ACTR2,253,429,226,146,258,161,0.204832456559395,0.529675328970079,4711.0,-0.342145397037424,0.269851316873738,231.727434645376,-1.2679033810219,0,7.856285047459441,ns
ACTR3,411,378,252,308,250,196,0.39309670015404,0.712698048663473,7041.0,-0.179867681877019,0.210614204900059,285.134816499579,-0.854014960493146,0,8.155500400655315,ns
ACTR3B,61,31,25,14,2,2,0.0098346809262917,0.0905192631472992,1305.0,-2.52599521877355,0.978465524832268,20.2468037997826,-2.58158836940787,0,4.339622274186048,ns
ACTR5,64,60,45,142,122,77,0.0004134817372549,0.0089680182252522,554.0,1.28016165935291,0.362515849402842,84.515394771213,3.53132604122459,0,6.40114225210646,up
ACTR6,53,152,135,168,237,133,0.0075420002146518,0.0757241832528196,1197.0,0.957612918790057,0.358399620114733,145.36283226454,2.67191387782024,0,7.183514624353442,ns
ACTR8,93,121,35,68,16,36,0.20336359976961,0.52757851907444,4694.0,-0.727073607402859,0.571586708214679,56.1675848149005,-1.27202679305443,0,5.811665863791455,ns
ACVR1,54,89,54,61,82,71,0.267620640251373,0.600705009841884,5520.0,0.463994938772973,0.418556973890668,67.4149345936727,1.10855861380098,0,6.074996325426205,ns
ACVR1B,228,314,154,182,231,217,0.419470422208506,0.73462482865272,7326.0,0.212724806339243,0.263488386228462,214.943595132588,0.807340351444544,0,7.747814311456154,ns
ACVR2A,38,102,24,6,67,98,0.425712393478639,0.739635403988374,7386.0,0.59273753228988,0.744130928098675,56.4996766468578,0.796550055787066,0,5.82017070575484,ns
ACVR2B,169,264,260,162,260,76,0.483556617560844,0.782631602665088,8019.0,-0.23255517371497,0.331940148915725,188.19633083473,-0.700593689779939,0,7.556094690645951,ns
ACY1,24,57,14,46,17,50,0.339064297589481,0.67115311176904,6378.5,0.676643948162756,0.707774925844956,34.0987264970107,0.956015709874101,0,5.091645954055999,ns
ACYP1,122,140,169,119,104,31,0.156012841522771,0.462833679525726,4061.0,-0.564676975498421,0.39804957104392,107.150683690552,-1.41860968225014,0,6.743497245144501,ns
ACYP2,49,51,32,50,12,5,0.304163273058859,0.64054836019592,5934.0,-0.800084680350007,0.778636099641919,29.9865403558446,-1.02754634766864,0,4.906243178301709,ns
ADAL,78,110,91,81,106,72,0.585358504819307,0.840823279187672,9133.0,0.194089155160642,0.355751927543536,87.2666564887578,0.545574430195854,0,6.4473586180752305,ns
ADAM10,145,137,154,183,117,37,0.634720337593654,0.865062353695637,9663.0,-0.188142030476462,0.396010541075905,121.19710049788,-0.475093491110884,0,6.921211374168369,ns
ADAM17,89,233,160,131,201,61,0.963815831542516,0.990397801578622,12949.0,-0.0172444275424792,0.380120507842987,137.267844458647,-0.0453656858461376,0,7.10084989775632,ns
ADAM23,26,42,17,12,29,1,0.45244558543344,0.759474875187024,7686.0,-0.758944899106282,1.0101162471875,19.0479696555287,-0.751344116302888,0,4.251565322316924,ns
ADAM9,32,29,36,57,76,12,0.241215241050242,0.570042382681585,5215.0,0.768246565914433,0.655525816143729,38.952040683558,1.17195470719034,0,5.283627007434334,ns
ADAMTS1,904,1310,909,2319,1908,1633,1.74833155557654e-37,9.142253747356099e-35,23.0,1.20966049472022,0.094541593067291,1497.07468226872,12.7950085827222,0,10.547930477368542,up
ADAMTS15,24,52,22,24,27,16,0.760723003674426,0.91910306912222,10998.0,-0.217224870955283,0.713308397289122,25.6332200972586,-0.304531492662684,0,4.67994281918747,ns
ADAMTS17,76,171,82,107,156,79,0.288644685154635,0.623804151000287,5762.0,0.383616496779055,0.36152735614116,107.151246126067,1.06109949983777,0,6.743504817852119,ns
ADAMTSL5,3,1,11,2,2,34,0.246995167104988,0.576111578384126,5293.0,1.75991951327027,1.52021408671196,10.5765230726694,1.15767873002464,0,3.4027935285556326,ns
ADAP2,111,84,67,8,21,23,0.0007146817909899,0.0138413492757425,621.0,-1.97649825551419,0.584091602703711,48.4122663419309,-3.38388404552497,0,5.597300728101459,down
ADAR,395,607,397,237,315,268,0.0361344837572903,0.204748095250172,2122.0,-0.433621137902241,0.20693847845282,351.368540952637,-2.09541087353217,0,8.456841218220266,ns
ADARB1,49,53,58,104,15,80,0.30167783285868,0.637826798621807,5907.0,0.612568113541099,0.593089841482713,59.9673730243329,1.03284202610804,0,5.906105869295555,ns
ADAT1,117,165,208,67,180,253,0.558159929031401,0.826926517179189,8839.0,0.411115827937766,0.702069845842461,170.062548179962,0.58557682027269,0,7.409921649975779,ns
ADAT2,43,72,68,62,51,42,0.927043967968962,0.979233954221211,12620.0,0.0423645351710901,0.462673665573736,54.3940058570261,0.0915646130811361,0,5.765375772156936,ns
ADAT3,37,132,75,88,41,67,0.947527238895634,0.98700070173201,12792.0,0.0320353208928639,0.486767760122139,69.886468770443,0.0658123308840866,0,6.126941246804224,ns
ADCK1,13,18,7,6,2,17,0.925699325370604,0.978928581232257,12606.0,-0.118473806126138,1.27040006948263,10.4001251744836,-0.0932570841045262,0,3.3785289874383415,ns
ADCK2,201,254,113,142,144,64,0.198147823484802,0.521997814870314,4615.0,-0.411549102072572,0.31981213574103,141.668126671369,-1.28684642038045,0,7.146371398520543,ns
ADCY1,13,96,95,62,41,42,0.745465968782865,0.914403931084598,10786.0,-0.200003306431908,0.616108350354297,55.580134709413,-0.324623593101595,0,5.796497426085906,ns
ADCY3,80,97,62,28,29,2,0.0060197829290643,0.065758337227845,1101.0,-1.80718263142314,0.657946411684862,44.2795926611929,-2.74670185797552,0,5.4685700453631965,ns
ADCY9,79,167,87,57,52,57,0.105063442054806,0.378776384170609,3336.0,-0.649044151523692,0.400450130320884,77.5291232560236,-1.62078646597919,0,6.27666644507491,ns
ADD1,162,190,236,124,140,164,0.641388215344702,0.869801152232569,9710.0,-0.145581810189402,0.312569155848171,166.940242947067,-0.465758720800072,0,7.383187965336694,ns
ADD2,108,129,62,77,97,58,0.890236771324662,0.967984598926111,12275.0,-0.0519513060388445,0.376446154145633,84.1014787346417,-0.138004613586108,0,6.394059262126154,ns
ADD3,259,316,229,255,87,87,0.0370507692309382,0.207743403981582,2145.0,-0.664160380178197,0.318510955233797,190.228805215474,-2.08520419553758,0,7.571591911235988,ns
ADGRA3,80,53,68,47,41,39,0.413731556595699,0.730606106850876,7262.0,-0.393878280653914,0.481899931409577,52.9900431989632,-0.817344545996934,0,5.727649398394382,ns
ADGRE3,9,9,16,16,11,10,0.744641620119801,0.914058840747164,10779.0,0.354552024777852,1.08854171213117,11.7165043143571,0.325712851263828,0,3.5504702925825367,ns
ADGRE5,59,52,58,52,68,27,0.939457374281382,0.984197864708897,12715.0,0.0379196645223002,0.499259002334062,50.7538010438844,0.0759518893901239,0,5.665443967270166,ns
ADGRL2,237,295,197,210,72,45,0.0110750745834996,0.098593576621576,1351.0,-0.940236638529817,0.370125118678456,160.155438630695,-2.54032107274147,0,7.323328980408754,ns
ADGRV1,85,109,99,56,166,72,0.472859577731324,0.775969728663478,7913.0,0.30376756090104,0.42317236803014,95.9963321130528,0.717834111700329,0,6.584907378394061,ns
ADH5,245,190,168,137,162,73,0.139669327762547,0.438934675986453,3833.0,-0.44545192208605,0.301587558026848,153.929739747287,-1.47702353837287,0,7.266128181940707,ns
ADIPOR1,159,166,89,139,68,76,0.462713210155726,0.768653560572226,7821.0,-0.257713316535698,0.350923274509475,109.504292436352,-0.734386503419964,0,6.774843612617284,ns
ADK,314,531,417,544,299,346,0.327220419062604,0.661115413926447,6233.0,0.20762137910938,0.211917375944345,394.709953711728,0.979727963241233,0,8.624649091041416,ns
ADM,77,129,118,130,224,126,0.0092575204152448,0.086755774245297,1283.0,0.865323721350725,0.332510544216747,133.70595559062,2.60239483048292,0,7.062919917806541,ns
