,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
PSMG1,0.049656804556041,0.757148041403769,0.0863108198856931,0.578842563242884,PSMG1,ns,0
PTGES3,-0.224885495667649,0.0017206489189518,0.0011952115550743,0.999713713316711,PTGES3,ns,0
PTGES3L-AARSD1,0.079842615457718,0.658546486696799,0.571268420322078,0.0147814310002508,PTGES3L-AARSD1,ns,0
PTGFRN,-0.3916643225958,0.0452654414797836,0.0694470853092278,0.820476416697998,PTGFRN,ns,0
PTGR2,0.0034809656944029,0.987726376894901,-0.109731018294036,0.552544680892922,PTGR2,ns,0
PTK2,-0.0371894642351904,0.853308364908387,-0.0948846005003435,0.730638059518787,PTK2,ns,0
PTK7,-0.848893017198871,1.04399638190398e-07,-0.432895258706059,0.124623715846934,PTK7,ns,0
PTGES2,-0.0671995379884733,0.736795086915333,-0.0620329279739041,0.837904120591562,PTGES2,ns,0
PTMS,-0.346269125321008,0.0792200028271891,-0.27487602835966,0.250857220920733,PTMS,ns,0
PTP4A1,0.114191194972307,0.281162609594983,-0.0802265226252084,0.658420897554633,PTP4A1,ns,0
PTP4A2,-0.109547534938248,0.178780732015648,-0.397026044712981,0.0001472715332996,PTP4A2,ns,0
PTPA,-0.226255767182399,0.206766312727096,-0.0269816965692882,0.934888245535833,PTPA,ns,0
PTPMT1,-0.107268217044323,0.495601608216968,-0.338557083656083,0.116217026567823,PTPMT1,ns,0
PTPN1,0.102283241294716,0.392392146585915,-0.0403251154513162,0.884925191296206,PTPN1,ns,0
PTPN11,-0.110976711613592,0.452394858088712,-0.399984636191113,0.0816998848395034,PTPN11,ns,0
PTOV1,-0.0402856445170761,0.838252238024335,-0.022641644698802,0.938574370138952,PTOV1,ns,0
PTER,-0.0373931838167221,0.854914271921466,-0.0129376375128843,0.970711097449154,PTER,ns,0
PTDSS2,-0.0120553249086129,0.957980843787772,0.147926343160075,0.54703365294741,PTDSS2,ns,0
PTDSS1,-0.246729232621469,0.0218183288070726,-0.133095861979663,0.473213889143585,PTDSS1,ns,0
PSMG2,0.103671766277951,0.547512385605735,0.159350792357657,0.483414391395173,PSMG2,ns,0
PSMG3,0.284631806322564,0.0203244034041247,0.0674888198583074,0.732337696486026,PSMG3,ns,0
PSMG4,-0.156133991556566,0.346692657528554,-0.196141569696792,0.390081807910084,PSMG4,ns,0
PSPC1,-0.0182519510787893,0.935479993711722,-0.0633390854125926,0.834135025146914,PSPC1,ns,0
PSPH,0.786523796814511,5.29105335448989e-05,0.376505797279975,0.137503052668863,PSPH,ns,0
PSRC1,-0.17672751038552,0.332445403181805,-0.0076232398378594,0.982713015753931,PSRC1,ns,0
PSTK,0.100694665825828,0.596213954606638,0.292407332237038,0.280839830394866,PSTK,ns,0
PSTPIP2,-0.0756166466128952,0.681101460159355,-0.0957173235359915,0.708053166727596,PSTPIP2,ns,0
PTAR1,0.0088496528112486,0.973093151380977,-0.170104509097367,0.469113667645361,PTAR1,ns,0
PTBP1,-0.090942882886329,0.292311766486452,-0.0686154107773808,0.672148799120655,PTBP1,ns,0
PTBP2,0.221493824760011,0.082128195871729,-0.059671399876549,0.843284455945828,PTBP2,ns,0
PTBP3,-0.0169193772845014,0.936174785777546,-0.248649686728826,0.323100947687634,PTBP3,ns,0
