rownames(count),DMSO.Total.1,DMSO.Total.2,DMSO.Total.3,TPG.Total.1,TPG.Total.2,TPG.Total.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
ACADS,103,61,69,70,142,113,0.222615474503469,0.448178161491296,6224.0,0.404119184185496,0.331353105685281,91.9461134757428,1.21960282626513,0,6.522716688689614,ns
ACADSB,334,349,372,309,290,299,0.0337603174987234,0.126912727583247,3086.0,-0.331352793773255,0.15608329528739,325.52633874195,-2.12292284810587,0,8.346630468142868,ns
ACADVL,419,265,423,396,373,271,0.308921535507504,0.547389262362397,7281.0,-0.185952682916082,0.182756709500725,354.610366214063,-1.01748758458219,0,8.47009090048123,ns
ACAP2,420,345,391,468,433,440,0.366842611910945,0.602285424795808,8000.0,0.121003567128164,0.134090326106452,412.848842750778,0.902403407029542,0,8.689469851005653,ns
ACAP3,142,82,65,123,159,87,0.397721558885371,0.630423582618826,8358.0,0.266916610248529,0.315617148312008,107.688129069879,0.845697427012632,0,6.750715413882235,ns
ACAT1,1027,1099,981,1021,890,895,0.015476666910895,0.0719156464536816,2450.0,-0.247349630958867,0.1021671732986,983.615844738501,-2.4210284279467,0,9.941951164787557,ns
ACAT2,2495,2127,2191,2213,2104,1996,0.0015079805514009,0.0120207108353761,1398.0,-0.204321727857514,0.0643909543761438,2177.40618706542,-3.1731433372451,0,11.08839484671421,ns
ACBD3,1023,870,1016,1442,1149,1250,0.002173662009108,0.015978606487235,1518.0,0.3053582030264,0.0996138974413099,1113.64537059733,3.06541768638567,0,10.121074178441964,ns
ACBD4,93,56,69,79,70,64,0.704965075664074,0.854204770295222,11989.0,-0.12135627250948,0.320516924480498,71.1065077777149,-0.37862672214947,0,6.151909698459021,ns
ACBD5,790,678,772,889,808,827,0.446545903020778,0.674895312380347,8883.0,0.077640346321762,0.101999160951926,788.401313496232,0.761186127387415,0,9.62278636972401,ns
ACBD6,763,790,724,818,670,660,0.103903070074017,0.27680057136829,4508.0,-0.185273646599708,0.113929085562478,734.82555197166,-1.62621902637939,0,9.521257983700666,ns
ACBD7,441,365,330,418,261,413,0.436345890068557,0.66591637691106,8762.0,-0.144941227893972,0.186209179292406,369.626296675283,-0.77837853345763,0,8.5299235892058,ns
ACCS,16,11,14,10,26,21,0.56035859789366,1.0,10258.0,0.395889123502903,0.679860962708999,16.2071976534547,0.582308950238044,0,4.018562754467662,ns
ACD,266,314,281,301,294,312,0.885505804773896,0.950456531689324,14023.0,-0.0245225132163065,0.170303221067938,294.045843938981,-0.143993243712777,0,8.199897289283259,ns
ACE,39,36,49,26,20,11,0.0151950153477993,0.0708727524035189,2440.0,-1.23299780161953,0.507887763256333,30.3246415702065,-2.4276973985633,0,4.922418688033919,ns
ACER3,536,481,569,642,614,567,0.386596941493825,0.620893033495798,8217.0,0.103383070466232,0.119406834659112,564.002874652639,0.865805301357953,0,9.139558705655066,ns
ACIN1,1734,1463,1700,1736,1776,1600,0.667549312157221,0.832700843423034,11556.0,-0.033005432694921,0.076843697115962,1657.74537666884,-0.429513856486026,0,10.695006716087418,ns
ACLY,4675,4257,4618,4359,4630,3967,0.0057764877951318,0.0341270840946027,1903.0,-0.161858644184614,0.0586400539491447,4398.70136853442,-2.76020626319657,0,12.10286194347799,ns
ACO1,173,126,172,196,160,190,0.572883064088215,0.770817527322551,10430.0,0.122943374759173,0.218057949622087,168.132203754995,0.563810560322356,0,7.393452272158988,ns
ACO2,1281,922,1096,1158,1127,1140,0.725152817307803,0.865489885489079,12195.0,-0.0344839369242647,0.0980825934133318,1112.46208585447,-0.351580598801515,0,10.119540452667573,ns
ACOT11,10,25,5,22,1,12,0.734533756263481,1.0,12291.0,-0.321796851139189,0.94897092941668,12.5574972521181,-0.339100852475,0,3.6504770542008256,ns
ACOT13,625,603,544,555,681,446,0.213010437139431,0.436037039034634,6100.0,-0.175874021231664,0.141226829551956,572.610373593575,-1.24533009619791,0,9.16140999667581,ns
ACOT2,697,584,519,653,600,538,0.404870134905612,0.636880171119058,8442.0,-0.101644967121966,0.122029368639182,594.11308941416,-0.832954953839935,0,9.214593763911648,ns
ACOT7,1206,1139,1120,1204,1023,1179,0.216112305641977,0.43941570759913,6144.0,-0.119369591637871,0.0965045658313004,1141.06969713386,-1.23693206232895,0,10.156171199547618,ns
ACOT8,389,296,308,388,317,365,0.906914315192753,0.958435760584452,14246.0,0.0182857961262522,0.156380376747755,341.145398654241,0.116931526234571,0,8.414242947232948,ns
ACOT9,417,312,343,518,662,402,0.0048061120123356,0.0296471518666443,1820.0,0.465873348647957,0.165217978962635,435.545135432959,2.81974971230775,0,8.766678422470667,ns
ACOX1,985,654,828,744,684,788,0.0584157037171354,0.184487262294145,3726.0,-0.239224519622459,0.126402254780627,776.456395213572,-1.8925652872066,0,9.600761096775539,ns
ACOX3,46,35,21,41,105,26,0.203409693767844,0.423632230736159,5977.0,0.657241409215493,0.516741036503949,44.6843921199874,1.27189706794357,0,5.481699093114619,ns
ACOXL,59,64,78,27,26,27,0.0003195073282835,0.0035826776275515,994.0,-1.42986936799737,0.397302059903646,47.4638743765913,-3.59894778382006,0,5.5687579643985154,down
ACP1,1560,1438,1319,1691,1561,1513,0.556251999050701,0.758407447981064,10200.0,0.0466575475276661,0.0792932505822331,1503.0796055587,0.588417641918699,0,10.553705703432984,ns
ACP2,252,255,199,320,277,266,0.279835485618174,0.51778709554379,6903.0,0.190984562582768,0.17672481693186,259.236571749232,1.08068898244441,0,8.01812545027887,ns
ACP3,9,1,2,15,9,25,0.041270074811902,1.0,3296.0,1.99571682740474,0.977906004976478,9.93678155414354,2.04080639371138,0,3.3127786498007192,ns
ACP6,491,400,507,524,548,538,0.398148470337218,0.630685811816988,8366.0,0.111196468875609,0.131603951104656,497.849547293998,0.844932602268006,0,8.95956600803703,ns
ACSF2,20,30,43,19,65,18,0.978402700929088,0.990357288503128,14904.0,0.0158287925842979,0.584703055618974,32.4034768249712,0.0270715065231554,0,5.0180767144488465,ns
ACSF3,131,145,148,175,185,153,0.431177705203587,0.661484757526951,8714.0,0.172296245957204,0.218878395554439,155.124383100712,0.787177946552293,0,7.277281662826162,ns
ACSL1,247,191,283,245,270,190,0.51027644543054,0.72539106424951,9607.0,-0.131250938283663,0.199346116229263,236.055533958558,-0.658407300660499,0,7.882982494877119,ns
ACSL3,1873,1786,1846,2139,1950,1834,0.923464769675816,0.96574492775989,14396.0,0.0068946852973625,0.0717671126086933,1892.94682406591,0.0960702618057864,0,10.886418168638759,ns
ACSL4,282,269,339,333,295,257,0.516760722610399,0.729387586107418,9711.0,-0.110578835999296,0.170555094339001,294.360994355288,-0.648346720031158,0,8.201442702954978,ns
ACSL6,27,45,26,29,31,42,0.931702601483511,0.969357204571274,14464.0,-0.0417497567329381,0.487145238209683,33.4736190222995,-0.0857028940411558,0,5.064952632265865,ns
ACSM3,5,13,7,15,8,14,0.594405177424721,1.0,10644.0,0.449966604994735,0.84506600538491,10.3157678118994,0.532463265741928,0,3.366779301200886,ns
ACSS1,317,287,306,287,274,256,0.10665353421203,0.281643172348692,4552.0,-0.252189361217799,0.156307431662568,286.866228085016,-1.61341887929051,0,8.164234323645895,ns
ACSS2,108,85,66,100,125,94,0.46478655994508,0.69033925634872,9076.0,0.210526664900469,0.288002951260139,95.2436627205989,0.730987873489917,0,6.573551197301969,ns
ACSS3,61,54,38,70,52,71,0.500658500200673,0.717877810737235,9517.0,0.24629909377308,0.365725189088394,57.1676731842087,0.673454006236226,0,5.837127666356903,ns
