rownames(count),DMSO.GFP.1,DMSO.GFP.2,DMSO.GFP.3,TPG.GFP.1,TPG.GFP.2,TPG.GFP.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
SRPRA,267,184,315,284,286,294,0.138115120673809,0.466978940692669,3357.0,0.341795126398561,0.230499285659398,267.564258938551,1.48284679243485,0,8.063741604349534,ns
SRPRB,850,417,754,635,902,805,0.0317583574860623,0.209510358340888,1610.0,0.371764400088202,0.173119897432888,705.249834020237,2.14743888831335,0,9.46199061104894,ns
SRPX,12,32,28,1,28,8,0.273954069168086,1.0,5186.0,-1.04485580259452,0.955076620673262,17.4439587460836,-1.09400207269022,0,4.124655578536293,ns
SRRD,308,335,272,248,249,215,0.341501055912224,0.694185012601528,5987.0,-0.244663841935625,0.257215021476897,269.834687343649,-0.951203551529748,0,8.07593200893558,ns
SRRM1,1285,1005,1270,759,1269,1029,0.425023844697648,0.760568985248423,7060.0,-0.106117197967863,0.133022991683835,1069.60651237128,-0.797735764506624,0,10.062864439178641,ns
SRRM2,666,418,956,681,573,577,0.845615720905182,0.956469381189019,12301.0,0.0440931163067726,0.226448993681687,631.184779031354,0.194715443817574,0,9.301918605074206,ns
SRRM3,3,1,2,15,14,7,0.0283101751047073,1.0,1528.0,2.78063237110852,1.26798065482058,7.18186097160999,2.19296119427151,0,2.8443577251955263,ns
SRRT,492,264,581,299,351,307,0.165114459950725,0.506944127909767,3754.0,-0.306678972820259,0.220938461832794,367.229645016003,-1.38807417357849,0,8.520538716367547,ns
SRSF1,1366,1274,1719,1343,1828,1399,0.164158521067213,0.505631124123401,3742.0,0.191101707129956,0.137362613439817,1460.14605564142,1.39122067019847,0,10.511896971034894,ns
SRSF10,1218,1043,1300,1188,2164,1420,0.0002476866669007,0.0071047349526351,341.0,0.521962084584531,0.142432019459329,1355.66069669988,3.66464006173539,0,10.404780421512227,ns
SRSF11,2991,3121,2932,2027,3169,2371,0.24078119460602,0.594654713289062,4769.0,-0.168205041040089,0.143392852834634,2715.96661999104,-1.17303643602146,0,11.407250033217736,ns
SRSF12,248,158,213,81,192,164,0.17056554234411,0.514246459503586,3829.0,-0.396250757593036,0.289152053274402,168.00928551445,-1.37038887708329,0,7.39239715965646,ns
SRSF2,2888,2289,2603,1523,2525,2046,0.0410793568799063,0.244692567531471,1795.0,-0.24360130113649,0.119252922371971,2243.42217960728,-2.04272814696025,0,11.131485424975931,ns
SRSF3,2726,2433,2766,2552,3721,2942,0.0038557454193015,0.055710651496714,697.0,0.329572202185067,0.114049534391945,2808.08594352964,2.88972860732996,0,11.45537137572001,ns
SRSF4,1430,990,1477,961,1721,1349,0.21222248577137,0.56724888720198,4377.0,0.168944211385912,0.135428670228159,1278.17159729419,1.24747744403965,0,10.319865818870868,ns
SRSF5,948,719,766,786,1463,966,0.0018748993806787,0.0327092116506029,568.0,0.500483933298026,0.160960174195944,918.040925864684,3.1093650078234,0,9.842414659564065,ns
SRSF6,1452,920,1280,1628,1461,1263,0.0120168006805595,0.118151031160526,1049.0,0.430269235849317,0.171309353010208,1323.32988614578,2.51165058001052,0,10.369957033188106,ns
SRSF7,1638,1536,1858,1645,2810,2195,0.0001397117417877,0.0046110689331044,295.0,0.502670008844558,0.131980179445193,1908.63107901083,3.80867802239427,0,10.898322554550685,ns
SRSF8,363,370,363,291,410,328,0.953269672638922,0.988203722799715,13436.0,0.0120947125882474,0.206389822767887,348.723764724541,0.0586013032331032,0,8.445940873596788,ns
