baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCB1	159.388385033773	-0.287920923264743	0.396286549100651	-0.726547302496546	0.467503320325188	0.930583293712461
ABCB10	346.271191207369	-0.336206749693713	0.352075139355613	-0.954928968597604	0.339613619040004	0.856586797003662
ABCB11	0	NA	NA	NA	NA	NA
ABCB4	14.0189115268823	-1.64502574843442	1.69286886235919	-0.97173844059126	0.331180687830854	0.851112724875373
ABCB5	1.5840758783503	-2.2910352173927	4.54920041938091	-0.503612724476202	0.614533549088105	0.977835308485984
ABCB6	148.470731470294	0.563005431641252	0.434446678316714	1.29591376742169	0.195005195511	0.723025973036487
ABCB7	972.570521768846	-0.0146308062841111	0.218050112031282	-0.0670983662783543	0.946503394487116	0.991816425564769
ABCB8	103.695164122135	0.273435635662985	0.63314189913348	0.431871016650785	0.665835160931861	0.977835308485984
ABCB9	121.844667554368	-1.05492618204812	0.504585052208702	-2.09068060464817	0.0365567047653649	0.367753162888787
ABCC1	1.8710593367892	0.298622695688227	4.49470824875435	0.0664387273124983	0.947028538362714	0.991816425564769
ABCC10	82.0953225973581	-0.223415457147864	0.774397283750692	-0.288502377056103	0.772962211204971	0.977835308485984
ABCC11	0.785301174761882	0.970760475694473	6.12612498552228	0.158462401271382	0.874092445725976	0.98253468173519
ABCC12	0.441281126675505	-2.62675716567522	6.16270159254367	-0.426234683966098	0.669936846543354	0.977835308485984
ABCC2	10.5240797109874	-0.166371147576203	2.44876894446569	-0.0679407291374748	0.94583281647592	0.991816425564769
ABCC3	2.17336424955565	-6.1784743943862	3.64273838288296	-1.69610708894675	0.0898656013925207	0.533030795115098
ABCC4	874.903376827472	-0.38245986312992	0.218941870879568	-1.74685573660918	0.0806623655016301	0.510353395418528
ABCC5	395.449591647243	0.381306955580776	0.252134760291727	1.51231410988153	0.13045397323186	0.625815321524196
ABCC6	0.34035878467203	-0.670253284873855	6.18897843089023	-0.108297886696213	0.913759398930208	0.990287566199237
ABCC8	12.4469314785774	1.933507000608	2.15588824304835	0.896849364452256	0.369799302623041	0.876449818677652
ABCC9	1.1481788779893	4.64243191179064	5.91850406684932	0.784392789014676	0.432809668293564	0.913106054394636
ABCD1	13.001520301334	-0.400085839061029	1.38219211018034	-0.289457475639061	0.772231317179689	0.977835308485984
ABCD2	1.91756401873099	1.68486997493275	4.29585746094456	0.392208072602644	0.694904479941809	0.977835308485984
ABCD3	661.435819797428	0.248600122735389	0.234515453996737	1.06005859528067	0.289117942861757	0.819555449340386
