gene_name	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
ADIPOR1	492	667	479	296	230	215
ADIPOR2	0	1	16	0	0	0
ADIRF	0	0	0	0	1	0
ADK	1392	1782	1504	1605	1480	1267
ADM	86	161	187	153	249	139
ADM2	0	0	0	0	0	0
ADM5	20	35	30	59	19	17
ADNP	561	649	491	614	435	411
ADNP2	746	885	616	874	754	537
ADO	644	1061	660	834	599	691
ADORA1	0	12	5	17	34	51
ADORA2A	21	79	26	46	28	17
ADORA2B	172	165	127	146	73	82
ADORA3	0	0	0	0	0	0
ADPGK	544	618	395	565	562	244
ADPRH	0	0	0	0	0	0
ADPRHL1	61	83	26	23	94	37
ADPRM	123	71	66	365	85	222
ADPRS	759	868	670	1075	933	553
ADRA1A	0	0	0	0	0	0
ADRA1B	21	1	8	0	0	4
ADRA1D	0	0	0	3	6	0
ADRA2A	4	9	3	8	3	0
ADRA2B	0	0	0	0	0	0
ADRA2C	188	208	231	205	120	171
ADRB1	22	9	11	0	1	0
ADRB2	10	0	0	0	20	35
ADRB3	0	0	0	0	0	0
ADRM1	2029	2453	1753	2711	2476	2344
ADSL	1948	2291	1634	1759	1830	1328
ADSS1	19	30	22	1	57	11
ADSS2	540	504	325	595	576	266
ADTRP	0	0	0	0	0	0
AEBP1	0	0	0	0	0	0
AEBP2	131	311	93	212	257	168
AEN	865	1055	876	1434	1244	942
AFAP1	17	43	50	128	43	54
AFAP1L1	33	67	56	61	22	31
AFAP1L2	0	21	0	1	0	0
AFDN	303	373	327	505	306	617
AFF1	24	82	97	122	92	34
AFF2	36	23	45	55	70	20
AFF3	195	171	181	226	144	163
AFF4	299	127	201	321	238	221
AFG1L	34	75	52	68	99	50
AFG3L2	943	991	750	1443	1115	1012
AFM	0	0	0	0	0	0
AFMID	746	995	960	987	751	738
AFP	0	0	0	0	0	0
AFTPH	252	344	203	408	357	254
AGA	358	527	405	359	356	450
AGAP1	255	331	325	207	341	106
AGAP2	0	1	0	0	0	0
AGAP3	445	511	535	413	370	304
AGAP4	0	0	0	0	0	0
AGAP5	1	0	0	0	4	0
AGAP6	11	13	8	35	12	46
AGAP9	0	0	0	0	0	30
AGBL1	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0
AGBL3	0	7	0	0	0	0
AGBL4	10	50	32	25	28	0
AGBL5	442	632	547	172	131	113
AGER	0	0	0	0	0	0
AGFG1	406	453	461	387	276	475
AGFG2	53	33	15	81	28	43
AGGF1	1057	1396	1260	968	724	1036
AGK	20	25	60	16	13	25
AGL	269	404	408	220	228	193
AGMAT	0	0	0	0	0	0
AGMO	0	0	0	0	0	0
AGO1	309	463	320	147	283	177
AGO2	543	637	455	607	462	344
AGO3	346	433	357	399	399	357
AGO4	59	91	75	74	30	38
AGPAT1	0	0	0	0	0	0
AGPAT2	687	845	891	618	612	759
AGPAT3	1278	1568	1244	971	672	490
AGPAT4	140	108	53	186	129	88
AGPAT5	0	0	4	0	0	0
AGPS	245	350	266	262	298	100
AGR2	0	0	0	0	0	0
AGR3	0	0	0	0	0	0
AGRN	102	122	74	10	27	0
AGRP	0	0	0	0	0	0
AGT	0	0	0	0	0	0
AGTPBP1	204	224	195	71	186	106
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	456	636	438	468	380	391
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	32	57	71	147	78	80
AHCY	1822	2414	1908	2001	1840	2156
AHCYL1	3524	4614	3303	3166	3027	2333
AHCYL2	50	98	27	59	40	34
AHDC1	40	115	61	27	40	6
AHI1	523	674	531	706	718	434
AHNAK	9	59	27	33	76	6
AHNAK2	2	4	0	0	31	1
AHR	117	88	107	144	141	41
AHRR	30	15	60	15	2	16
AHSA1	1386	1712	1500	1773	1398	1016
AHSG	0	0	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	0	0	0	0	0	0
AIDA	130	154	134	57	29	42
AIF1	0	0	0	0	0	0
AIF1L	592	946	634	494	490	536
AIFM1	1685	1570	1580	1899	1529	1546
AIFM2	207	332	229	382	299	193
AIFM3	0	0	0	0	0	0
AIG1	968	1429	1125	880	688	594
AIM2	0	0	0	0	0	0
AIMP1	341	476	412	562	372	231
AIMP2	1746	2022	1441	2559	2222	1387
AIP	569	709	478	855	635	502
AIPL1	0	0	0	0	0	0
AIRE	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
AJM1	2	9	1	0	0	0
AJUBA	154	143	81	161	127	132
AK1	552	527	490	391	357	317
AK2	3166	4063	2965	3376	2972	3057
AK3	798	900	644	494	435	288
AK4	305	418	354	313	292	186
AK4P3	0	0	0	0	0	0
AK5	0	0	8	20	0	0
AK6	0	0	6	0	0	0
AK7	8	49	21	34	28	25
AK8	0	0	0	6	0	0
AK9	24	20	49	49	10	0
AKAIN1	0	0	0	0	0	0
AKAP1	593	665	569	539	441	369
AKAP10	209	330	192	236	189	80
AKAP11	40	81	48	50	54	64
AKAP12	296	262	225	243	250	399
AKAP13	299	347	283	421	483	346
AKAP14	0	0	0	0	0	0
AKAP17A	0	0	0	0	0	0
AKAP3	10	19	13	25	0	1
AKAP4	0	0	0	0	0	0
AKAP5	50	55	36	71	12	1
AKAP6	7	12	6	25	6	22
AKAP7	57	39	22	88	7	51
AKAP8	403	450	418	716	636	302
AKAP8L	129	214	228	216	261	127
AKAP9	1904	2420	1783	2403	2172	1319
AKIP1	533	708	529	634	474	641
AKIRIN1	2874	3508	2688	2557	2546	2417
AKIRIN2	256	297	239	315	235	198
AKNA	7	24	17	4	24	6
AKNAD1	0	0	0	0	0	0
AKR1A1	1367	1914	1349	1653	1452	1286
AKR1B1	3713	4120	3295	3640	2976	2572
AKR1B10	0	0	0	0	0	0
AKR1B15	0	0	0	0	0	0
AKR1C1	0	0	0	0	20	0
AKR1C2	10	1	0	5	0	0
AKR1C3	0	0	0	0	0	0
AKR1C4	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	0	4	0	0	0	0
AKR1E2	0	0	0	0	0	0
AKR7A2	1986	2797	2174	2125	1935	1501
AKR7A3	0	0	0	21	4	0
AKR7L	7	0	9	0	0	0
AKT1	1639	2196	1687	1171	1132	631
AKT1S1	85	69	66	48	46	52
AKT2	3690	4725	3594	3606	3125	1667
AKT3	0	0	0	0	0	0
AKTIP	64	44	79	19	27	3
ALAD	161	121	82	142	167	93
ALAS1	231	269	100	371	270	208
ALAS2	0	0	0	0	0	0
ALB	0	0	0	4	0	0
ALCAM	328	537	333	253	378	376
ALDH16A1	308	342	245	235	351	180
ALDH18A1	1017	1509	1212	979	973	852
ALDH1A1	0	0	0	0	0	0
ALDH1A2	1887	2122	1771	2464	1828	1573
ALDH1A3	8	10	34	15	49	5
ALDH1B1	453	474	431	606	369	151
ALDH1L1	2	10	0	3	12	0
ALDH1L2	11	10	24	33	2	10
ALDH2	552	679	465	736	431	682
ALDH3A1	15	1	19	1	8	0
ALDH3A2	1547	1715	1382	1210	1177	818
ALDH3B1	8	7	16	9	0	0
ALDH3B2	0	0	0	0	0	0
ALDH4A1	91	138	158	167	135	64
ALDH5A1	769	934	663	842	632	554
ALDH6A1	247	444	352	369	244	84
ALDH7A1	1400	1784	1313	1843	1517	1378
ALDH8A1	0	5	0	0	0	0
ALDH9A1	1707	2095	1473	2145	1464	1296
ALDOA	12761	16099	13009	15588	12186	10800
ALDOB	0	0	0	0	0	0
ALDOC	50	51	61	101	161	82
ALG1	453	656	389	413	369	425
ALG10	111	63	108	21	12	58
ALG10B	259	160	212	224	111	106
ALG11	1189	1510	1119	1751	1681	1046
ALG12	288	384	251	395	313	262
ALG13	909	1145	1008	1074	1041	705
ALG14	624	623	383	392	288	183
ALG1L2	0	0	0	0	0	0
ALG2	399	568	472	437	495	480
ALG3	2371	3004	2408	2156	2079	1546
ALG5	1918	2316	1806	1794	1444	1403
ALG6	219	264	256	215	265	159
ALG8	817	1074	790	961	822	757
ALG9	304	499	346	350	391	244
ALK	0	0	0	0	0	0
ALKAL1	8	13	19	3	0	0
ALKAL2	0	0	4	0	0	0
ALKBH1	51	84	44	84	106	63
ALKBH2	437	558	469	533	297	453
ALKBH3	486	679	415	607	341	225
ALKBH4	875	942	609	885	699	506
ALKBH5	1510	2085	1376	1224	1041	859
ALKBH6	884	1103	894	1049	852	807
ALKBH7	234	256	224	258	249	133
