gene_name	DMSO-Total-1	DMSO-Total-2	DMSO-Total-3	TPG-Total-1	TPG-Total-2	TPG-Total-3
FBN2	719	568	716	573	564	464
FBN3	0	0	0	0	0	0
FBP1	4	0	0	0	0	0
FBP2	0	0	0	0	0	0
FBRS	945	646	722	910	779	844
FBRSL1	1168	974	957	1099	976	910
FBXL12	160	144	113	188	126	223
FBXL13	2	9	0	0	0	3
FBXL14	0	0	3	0	0	0
FBXL15	296	266	209	316	423	340
FBXL16	213	109	163	183	107	133
FBXL17	183	153	162	192	177	137
FBXL18	485	272	400	368	281	303
FBXL19	52	59	22	50	64	72
FBXL2	110	101	126	83	89	113
FBXL20	480	434	432	595	481	546
FBXL22	26	14	25	17	23	19
FBXL3	537	506	505	766	764	621
FBXL4	122	162	176	222	160	222
FBXL5	328	321	313	393	288	308
FBXL6	0	0	0	0	0	0
FBXL7	0	0	0	0	0	0
FBXL8	6	5	5	0	9	5
FBXO10	92	105	87	108	102	118
FBXO11	279	327	355	354	383	299
FBXO15	3	3	7	6	14	8
FBXO16	759	801	651	842	749	841
FBXO17	0	0	0	0	0	0
FBXO2	4	1	1	2	0	5
FBXO21	1056	1030	1044	1242	1001	1168
FBXO22	888	900	848	1203	1121	1023
FBXO24	1	3	2	20	12	7
FBXO25	322	323	216	302	241	231
FBXO27	37	20	76	38	24	33
FBXO28	645	687	697	771	696	769
FBXO3	338	371	325	344	306	242
FBXO30	284	247	286	458	346	313
FBXO31	217	186	229	177	145	201
FBXO32	100	107	78	123	97	139
FBXO33	579	490	575	515	549	507
FBXO34	36	38	75	115	130	87
FBXO36	0	0	2	4	3	3
FBXO38	157	108	118	119	199	120
FBXO39	0	0	0	0	0	0
FBXO4	650	606	611	806	846	814
FBXO40	0	0	0	0	0	0
FBXO41	66	47	30	45	16	33
FBXO42	174	169	173	252	247	189
FBXO43	13	17	18	3	8	15
FBXO44	114	87	103	114	124	135
FBXO45	1114	1026	1056	1395	1193	1093
FBXO46	254	185	158	252	232	171
FBXO47	0	0	0	0	0	0
FBXO48	26	34	50	20	91	37
FBXO5	838	657	689	1131	1023	1017
FBXO6	17	22	14	32	53	52
FBXO7	1369	1147	1208	1289	1241	1133
FBXO8	81	85	81	127	119	99
FBXO9	1559	1491	1367	1453	1302	1302
