gene_name	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
BEST2	0	0	0	0	0	0
BEST3	0	0	0	0	0	0
BEST4	0	0	0	0	0	0
BET1	319	229	317	487	448	295
BET1L	259	204	265	179	292	328
BEX1	1181	908	1168	742	920	962
BEX2	262	184	220	333	313	328
BEX3	1721	1153	1824	1241	1332	1210
BEX4	592	506	587	371	689	577
BEX5	3	0	10	0	0	0
BFAR	4	2	0	8	0	2
BFSP1	34	36	31	3	48	43
BFSP2	0	0	0	0	0	0
BGLAP	6	0	5	0	0	0
BGN	0	0	0	0	0	0
BHLHA15	38	26	63	72	73	92
BHLHA9	0	0	0	0	0	0
BHLHB9	65	42	13	14	45	42
BHLHE22	13	3	8	0	4	26
BHLHE23	0	0	0	0	0	0
BHLHE40	42	12	24	127	211	149
BHLHE41	157	127	208	241	206	197
BHMT	0	0	0	0	0	0
BHMT2	0	0	0	0	0	0
BICC1	75	61	96	104	83	48
BICD1	274	309	314	193	518	332
BICD2	288	277	292	81	182	171
